55
Celtis	0.0	0.0568	.	0.0839	0.0747	.	0.0856	0.0836	.	.	0.0887	.	0.0832	0.0809	0.0932	0.1141	.	.	0.1027	0.1015	.	.	0.1326	.	0.2148	.	.	0.2231	0.204	.	0.1947	0.1833	0.1879	.	0.1735	0.1877	.	0.176	0.1792	0.1914	0.1733	.	0.2309	0.1841	0.1833	.	0.1868	.	.	.	.	0.2492	.	0.3055	.
NothofBal	0.0568	0.0	0.07	0.0893	0.0801	.	0.0909	.	0.0702	0.0746	.	.	0.0886	.	0.0986	.	0.125	.	.	.	.	0.1538	0.138	0.1577	.	.	0.2228	.	0.2094	.	0.2001	0.1887	0.1933	.	.	0.1931	0.1795	0.1813	0.1846	.	.	0.2243	0.2363	.	.	.	0.1921	0.1943	.	0.2111	.	.	.	.	0.3317
Heuchera	.	0.07	0.0	.	0.063	0.0639	0.0739	.	.	.	0.077	0.0853	0.0715	0.0692	.	0.1024	0.1079	0.1274	.	.	0.1328	0.1367	0.1209	.	.	.	0.2057	.	0.1923	.	.	0.1716	.	.	.	.	0.1624	0.1642	.	0.1797	.	0.2072	.	.	.	0.1747	.	0.1772	0.16	.	.	.	.	0.2937	.
Floerkea	0.0839	0.0893	.	0.0	0.0806	.	0.0915	0.0895	0.0707	0.0751	0.0946	0.1029	.	0.0868	0.0991	0.12	0.1255	0.145	0.1085	0.1074	0.1504	.	.	0.1582	.	0.2194	0.2233	.	0.2099	.	0.2006	0.1892	0.1938	.	.	0.1936	.	.	0.1851	.	.	0.2248	0.2368	0.19	0.1892	0.1923	0.1926	0.1948	0.1776	0.2116	.	.	0.2558	.	.
Dipsacus	0.0747	0.0801	0.063	0.0806	0.0	.	.	.	.	0.0608	.	0.0886	.	.	0.0849	.	0.1113	0.1307	0.0943	.	0.1362	0.1401	.	.	0.2064	.	.	0.2148	.	0.2144	.	.	.	.	0.1651	.	.	0.1676	.	.	.	0.2106	.	.	0.175	.	.	.	0.1634	.	.	.	0.2415	.	0.318
Cornuscan	.	.	0.0639	.	.	0.0	.	.	.	0.0617	0.0812	0.0895	.	0.0734	.	.	.	0.1316	.	.	0.137	0.1409	.	0.1448	0.2073	0.206	.	0.2156	0.1965	0.2153	0.1872	0.1758	0.1804	.	.	0.1802	0.1666	0.1685	0.1717	.	0.1658	0.2114	0.2234	0.1766	.	0.1789	.	.	.	0.1982	0.1958	.	.	.	.
Gentiana	0.0856	0.0909	0.0739	0.0915	.	.	0.0	0.0582	0.0673	0.0717	.	.	.	.	.	0.1166	.	0.1415	.	.	.	0.1509	.	0.1548	.	0.216	0.2199	0.2256	0.2065	.	.	.	0.1904	0.1988	.	0.1902	0.1766	0.1784	0.1817	0.1939	0.1758	.	.	0.1866	0.1858	.	0.1892	0.1914	0.1742	.	.	0.2517	.	.	0.3288
Nicotiana	0.0836	.	.	0.0895	.	.	0.0582	0.0	.	.	.	0.0975	.	.	.	0.1147	.	0.1396	0.1032	0.102	0.1451	.	0.1331	.	0.2153	.	0.2179	0.2237	.	0.2233	.	.	.	0.1968	.	0.1882	0.1747	0.1765	0.1798	0.192	0.1738	0.2195	0.2315	0.1846	0.1839	0.1869	0.1873	0.1895	0.1722	0.2062	.	.	0.2504	.	0.3268
Platanus	.	0.0702	.	0.0707	.	.	0.0673	.	0.0	.	.	0.0757	.	0.0596	0.0719	0.0929	0.0984	0.1178	0.0814	.	0.1233	.	0.1113	.	.	0.1923	.	.	0.1828	.	.	0.162	0.1667	.	.	.	0.1529	.	.	0.1702	0.152	0.1977	0.2097	.	0.1621	.	0.1655	.	.	0.1844	.	.	0.2286	.	0.3051
Gunnera	.	0.0746	.	0.0751	0.0608	0.0617	0.0717	.	.	0.0	.	.	0.0663	0.064	0.0763	.	0.1027	.	.	.	0.1276	.	0.1157	.	0.1978	.	.	0.2062	.	0.2059	.	.	.	0.1794	0.1565	.	.	.	0.1623	.	.	.	0.214	.	0.1664	0.1695	.	.	.	0.1888	.	.	0.233	0.2885	0.3094
Austrobai	0.0887	.	0.077	0.0946	.	0.0812	.	.	.	.	0.0	0.0585	.	0.0506	0.0661	0.1049	0.1104	0.1299	0.0935	0.0923	.	0.1392	0.1234	0.1431	.	.	0.2082	.	.	0.2136	0.1855	0.1741	0.1787	.	.	.	0.1649	.	.	0.1822	0.1641	.	0.2217	0.1749	0.1741	0.1772	0.1775	0.1797	.	0.1965	.	.	.	0.2962	.
Victoria	.	.	0.0853	0.1029	0.0886	0.0895	.	0.0975	0.0757	.	0.0585	0.0	0.0611	0.0588	.	.	.	.	0.1017	0.1005	.	.	.	0.1514	0.2138	.	.	0.2222	0.2031	0.2218	0.1938	0.1823	.	.	.	0.1868	.	0.175	.	.	0.1723	.	.	0.1831	0.1824	0.1855	0.1858	0.188	.	0.2048	0.2024	0.2482	0.2489	0.3045	.
Tasmannia	0.0832	0.0886	0.0715	.	.	.	.	.	.	0.0663	.	0.0611	0.0	0.0422	0.0606	.	0.1049	.	0.0879	.	0.1298	.	0.1179	.	.	.	0.2027	0.2084	0.1893	.	.	.	.	0.1816	0.1587	0.173	0.1594	.	0.1645	0.1767	0.1586	0.2042	0.2162	.	0.1686	.	0.172	.	.	.	0.1886	0.2344	0.2351	0.2907	0.3116
Hedycarya	0.0809	.	0.0692	0.0868	.	0.0734	.	.	0.0596	0.064	0.0506	0.0588	0.0422	0.0	.	0.0971	0.1026	0.122	.	.	.	.	.	.	.	.	0.2004	.	.	.	0.1777	.	.	0.1793	.	0.1707	.	0.1589	.	.	.	0.2019	.	0.1671	0.1663	.	0.1697	.	.	0.1887	.	0.2322	.	.	.
Saururus	0.0932	0.0986	.	0.0991	0.0849	.	.	.	0.0719	0.0763	0.0661	.	0.0606	.	0.0	.	.	.	0.0979	0.0967	.	.	.	.	0.21	.	0.2127	0.2184	.	0.2181	0.19	.	0.1832	0.1916	.	.	0.1694	.	0.1745	0.1867	0.1686	0.2142	.	0.1794	0.1786	.	0.182	0.1842	0.167	0.201	.	0.2445	0.2452	.	.
Amaranthu	0.1141	.	0.1024	0.12	.	.	0.1166	0.1147	0.0929	.	0.1049	.	.	0.0971	.	0.0	.	.	0.1114	0.1102	0.1532	.	0.1413	.	0.2235	0.2222	0.2261	.	0.2127	.	0.2034	0.192	.	0.205	.	.	.	0.1847	.	0.2001	0.182	.	0.2396	0.1928	0.192	.	.	.	.	0.2144	.	.	0.2586	.	0.335
Carex	.	0.125	0.1079	0.1255	0.1113	.	.	.	0.0984	0.1027	0.1104	.	0.1049	0.1026	.	.	0.0	0.0972	.	.	0.1451	.	.	.	0.2154	.	.	0.2237	0.2046	0.2234	.	0.1839	.	0.1969	.	0.1883	.	.	0.1798	.	0.1739	0.2195	.	0.1847	0.1839	0.187	0.1873	0.1895	.	0.2063	.	.	.	.	0.3269
